TEST1,48,(-10.0, 16.4, 0.5),16
365,16,16,16,16,16
750,16,16,16,16,16
1090,16,16,16,16,16
1230,16,16,16,16,16
TEST2,48,(135.0, 138.0, -43.0),4
365,0.08718343,0.09486493,0.08738732,0.1018351,0.0943469
750,0.1058933,0.08798239,0.07450275,0.07858214,0.07603876
1090,0.09397838,0.09907119,0.09578472,0.09341352,0.09902135
1230,0.09460516,0.1326729,0.09693861,0.09836738,0.09293474
TEST3,48,(135.0, 138.0, -43.0),16
365,16,16,16,16,16
750,16,16,16,16,16
1090,16,16,16,16,16
1230,16,16,16,16,16
TEST4,5000,(-10.0, 16.4, 0.5),4
365,4,4,4,4,4
750,4,4,4,4,4
1090,4,4,4,4,4
1230,4,4,4,4,4

