TEST1,12,(-10.0, 16.4, 0.5),4
365,0.06739663,0.06885711,0.06593766,0.06739512,0.06739663
750,0.06739512,0.06807628,0.06676833,0.06734528,0.06840402
1090,0.06739814,0.06739663,0.07036895,0.06447265,0.06734981
1230,0.06793582,0.06798112,0.06572168,0.06792071,0.06687859
TEST2,48,(-10.0, 16.4, 0.5),4
365,0.06642851,0.06739814,0.06739663,0.06739814,0.06739663
750,0.06739965,0.06739361,0.06759297,0.06720029,0.06947634
1090,0.06568997,0.06804758,0.06642247,0.0674495,0.06734226
1230,0.06738002,0.06740871,0.06738304,0.06945822,0.06533655
TEST3,100,(-10.0, 16.4, 0.5),4
365,0.06739663,0.06739663,0.06739663,0.06739663,0.06981466
750,0.06858224,0.06621253,0.06907762,0.06703566,0.06609625
1090,0.06692994,0.06740871,0.06738304,0.06739663,0.06739663
1230,0.06461613,0.06738002,0.06745251,0.0673347,0.06745251
TEST4,200,(-10.0, 16.4, 0.5),4
365,0.06878462,0.06599656,0.06739512,0.06754162,0.06726372
750,0.06748876,0.06703717,0.06804758,0.06818955,0.06694958
1090,0.06739663,0.06739361,0.07111958,0.06367671,0.06739512
1230,0.06739663,0.06739512,0.06739663,0.06739814,0.06739663
TEST5,500,(-10.0, 16.4, 0.5),4
365,0.06739814,0.06782103,0.06825148,0.06612796,0.06806722
750,0.06675474,0.0675824,0.06808081,0.06652518,0.06769718
1090,0.06739663,0.06739512,0.06741324,0.0693525,0.06542566
1230,0.06833756,0.06645872,0.0673921,0.06739663,0.06739663
TEST6,1000,(-10.0, 16.4, 0.5),4
365,0.108926,0.1141169,0.1090649,0.1143193,0.1105299
750,0.07087188,0.07083715,0.06944463,0.07085376,0.06836173
1090,0.08838709,0.08965878,0.08913621,0.08639044,0.09029765
1230,0.06743137,0.06736189,0.06739663,0.06778176,0.06701301
TEST7,2000,(-10.0, 16.4, 0.5),4
365,0.1823231,0.1820135,0.1857591,0.1864131,0.1843877
750,0.1320656,0.1270106,0.1247421,0.1226669,0.126636
1090,0.182897,0.1823956,0.1829318,0.1766383,0.1790064
1230,0.07808518,0.07184453,0.07902309,0.07919678,0.07874218
TEST8,5000,(-10.0, 16.4, 0.5),4
365,0.9824527,0.9576578,0.9645085,0.9543501,0.952281
750,4,4,4,4,4
1090,4,4,4,4,4
1230,4,4,4,4,4
TEST9,8000,(-10.0, 16.4, 0.5),4
365,4,4,4,4,4
750,4,4,4,4,4
1090,4,4,4,4,4
1230,4,4,4,4,4
TEST10,10000,(-10.0, 16.4, 0.5),4
365,4,4,4,4,4
750,4,4,4,4,4
1090,0.08,0.08,3.321429,4,4
1230,4,4,4,4,4

