TEST1,12,(135.0, 138.0, -43.0),4
365,0.07100625,0.02592164,0.0678376,0.0202519,0.06808831
750,0.06917121,0.06588777,0.01844253,0.07058185,0.06422642
1090,0.06740564,0.02124569,0.06740715,0.06739809,0.0201643
1230,0.06739809,0.02457897,0.0674132,0.06739205,0.02060078
TEST2,48,(135.0, 138.0, -43.0),4
365,0.06924521,0.06527609,0.02494296,0.06740413,0.02145563
750,0.06740867,0.06887669,0.02052225,0.06750381,0.06773489
1090,0.06751741,0.02285569,0.06935849,0.06544676,0.02398692
1230,0.06739809,0.02258383,0.06735731,0.06739809,0.02171389

